concept_id,concept_type,parent,description,domain,range,inverse,symmetric,transitive,temporal,direct/event_mediated,status
netra:USED_BY,Relationship,,Usage of an identifier/device by an actor. Does not imply ownership or identity equivalence.,netra:Identifier|netra:Device,netra:Actor,netra:USES,False,False,True,Direct,CONFIRMED
netra:USES,Relationship,,Actor uses object.,netra:Actor,netra:Identifier|netra:Device,netra:USED_BY,False,False,True,Direct,CONFIRMED
netra:REGISTERED_TO,Relationship,,Legal or administrative registration of an identifier/asset to an actor.,netra:Identifier|netra:Vehicle|netra:Property|netra:Account|netra:Device,netra:Person|netra:Organization,,False,False,True,Direct,CONFIRMED
netra:OWNS,Relationship,,Legal or de-facto property rights over an object.,netra:Person|netra:Organization|netra:Group,netra:Vehicle|netra:Property|netra:Asset|netra:DigitalAsset|netra:Account|netra:Organization,netra:OWNED_BY,False,False,True,Direct,CONFIRMED
netra:OWNED_BY,Relationship,,Object is owned by Actor.,netra:Vehicle|netra:Property|netra:Asset|netra:DigitalAsset|netra:Account|netra:Organization,netra:Person|netra:Organization|netra:Group,netra:OWNS,False,False,True,Direct,CONFIRMED
netra:LOCATED_AT,Relationship,,Physical presence of an entity at a location.,netra:Person|netra:Organization|netra:PhysicalObject,netra:Location,,False,False,True,Direct,CONFIRMED
netra:OCCURRED_AT,Relationship,,The spatial location where an event took place.,netra:Event,netra:Location,,False,False,True,Direct,CONFIRMED
netra:COMMUNICATES_WITH,Relationship,,Static representation of a communication line.,netra:Person|netra:Organization|netra:Group|netra:Identifier,netra:Person|netra:Organization|netra:Group|netra:Identifier,,True,False,True,Direct,CONFIRMED
netra:AFFILIATED_WITH,Relationship,,General association between actors.,netra:Actor,netra:Organization|netra:Group,,False,False,True,Direct,CONFIRMED
netra:EMPLOYED_BY,Relationship,,Professional employment relationship.,netra:Person,netra:Organization,,False,False,True,Direct,CONFIRMED
netra:MEMBER_OF,Relationship,,Membership in a collective.,netra:Person,netra:Organization|netra:Group,,False,False,True,Direct,CONFIRMED
netra:PARTICIPATED_IN,Relationship,,Actor involvement in an Event.,netra:Actor,netra:Event,,False,False,True,Direct,CONFIRMED
netra:Context,Context,,Boundary or scope of a set of facts.,,,,,,,,CONFIRMED
netra:Case,Context,netra:Context,"An investigative boundary (e.g., an FIR or Operation).",,,,,,,,CONFIRMED
netra:Jurisdiction,Context,netra:Context,Legal or geographic authority boundary.,,,,,,,,CONFIRMED
netra:SourceSystem,Context,netra:Context,The origin system providing the data.,,,,,,,,CONFIRMED
netra:ProvenanceRecord,Provenance,,Base class for tracing data origins.,,,,,,,,CONFIRMED
netra:SourceRecord,Provenance,netra:ProvenanceRecord,"The root physical or digital artifact (e.g., FIR Document, HDD).",,,,,,,,CONFIRMED
netra:DerivedArtifact,Provenance,netra:ProvenanceRecord,"Processed artifact (e.g., OCR text, Forensic Image).",,,,,,,,CONFIRMED
netra:Observation,Provenance,netra:ProvenanceRecord,"The exact snippet, region, or data point extracted.",,,,,,,,CONFIRMED
netra:ProcessingRun,Provenance,netra:ProvenanceRecord,A scheduled job or analysis execution.,,,,,,,,CONFIRMED
netra:Agent,Provenance,netra:ProvenanceRecord,"Human analyst or AI model (e.g., Qwen-72B, Analyst John).",,,,,,,,CONFIRMED
netra:Activity,Provenance,netra:ProvenanceRecord,"The action performed to generate the assertion (e.g., LLM Inference, Manual Entry).",,,,,,,,CONFIRMED
netra:ChainOfCustody,Provenance,netra:ProvenanceRecord,Sequential trace of handling.,,,,,,,,CONFIRMED
netra:AssertionStatus,AssertionDef,,The lifecycle state of a semantic claim.,,,,,,,,CONFIRMED
netra:Assertion,AssertionDef,,A first-class claim object combining semantics with provenance.,,,,,,,,CONFIRMED
